metadata_experiment,metadata_species,metadata_pool_id,velocity,angular_velocity
230509_motility_pools_exp1,cr,pools_slide1_001_0,66.735182,1340.218551
230509_motility_pools_exp1,cr,pools_slide1_001_1,90.64517578,763.2513547
230509_motility_pools_exp1,cr,pools_slide1_001_2,66.3593859,770.2651077
230509_motility_pools_exp1,cr,pools_slide1_001_3,21.45770557,1626.618725
230509_motility_pools_exp1,cr,pools_slide1_002_0,55.92141357,1119.163447
230509_motility_pools_exp1,cr,pools_slide1_002_1,76.87452318,632.2016944
230509_motility_pools_exp1,cr,pools_slide1_002_2,7.595974123,2023.437456
230509_motility_pools_exp1,cr,pools_slide1_002_3,97.90144766,254.8527961
230509_motility_pools_exp1,cr,pools_slide1_003_0,63.49242151,457.0959412
230509_motility_pools_exp1,cr,pools_slide1_003_1,79.60955909,541.1443096
230509_motility_pools_exp1,cr,pools_slide1_003_2,65.02676646,697.0874171
230509_motility_pools_exp1,cr,pools_slide1_004_0,96.00048925,537.6519825
230509_motility_pools_exp1,cr,pools_slide1_004_1,62.83687404,361.1897475
230509_motility_pools_exp1,cr,pools_slide1_004_2,13.2892788,815.8477584
230509_motility_pools_exp1,cr,pools_slide1_004_3,24.4764926,1416.605223
230509_motility_pools_exp1,cr,pools_slide1_005_0,57.58385028,448.5598801
230509_motility_pools_exp1,cr,pools_slide1_005_1,52.49600992,854.9399222
230509_motility_pools_exp1,cr,pools_slide1_005_2,114.7344159,342.2301615
230509_motility_pools_exp1,cr,pools_slide1_006_0,112.8884348,316.7615078
230509_motility_pools_exp1,cr,pools_slide1_006_1,108.6602682,500.0683466
230509_motility_pools_exp1,cr,pools_slide1_006_2,73.82972946,373.0854911
230509_motility_pools_exp1,cr,pools_slide1_006_3,28.03811509,1108.594226
230509_motility_pools_exp1,cr,pools_slide1_007_0,98.8824346,394.3785873
230509_motility_pools_exp1,cr,pools_slide1_007_1,41.59440763,575.8494567
230509_motility_pools_exp1,cr,pools_slide1_007_2,30.69859223,1178.959438
230509_motility_pools_exp1,cr,pools_slide1_007_3,25.87882536,696.5500737
230509_motility_pools_exp1,cr,pools_slide1_008_0,96.24075012,398.1929296
230509_motility_pools_exp1,cr,pools_slide1_008_1,112.1605374,296.4213325
230509_motility_pools_exp1,cr,pools_slide1_008_2,16.17625438,762.7342347
230509_motility_pools_exp1,cr,pools_slide1_009_0,57.4096778,434.6109085
230509_motility_pools_exp1,cr,pools_slide1_009_1,42.22933012,410.9420367
230509_motility_pools_exp1,cr,pools_slide1_009_2,80.33099466,226.99894
230509_motility_pools_exp1,cr,pools_slide1_009_3,45.41938532,451.0452991
230509_motility_pools_exp1,cr,pools_slide1_009_4,75.7655318,330.8016089
230509_motility_pools_exp1,cr,pools_slide1_009_5,61.04711089,282.1165112
230509_motility_pools_exp1,cr,pools_slide1_010_0,100.653362,213.5757094
230509_motility_pools_exp1,cr,pools_slide1_010_1,54.61043152,860.8138709
230509_motility_pools_exp1,cr,pools_slide1_010_2,48.75925905,565.3246197
230509_motility_pools_exp1,cr,pools_slide1_010_3,64.27976382,461.6078558
230509_motility_pools_exp1,cs,pools_001_0,68.59543902,328.8439199
230509_motility_pools_exp1,cs,pools_002_0,4.167333663,2557.034123
230509_motility_pools_exp1,cs,pools_002_1,,
230509_motility_pools_exp1,cs,pools_003_0,49.64895578,342.98067
230509_motility_pools_exp1,cs,pools_004_0,3.862247773,2585.80881
230509_motility_pools_exp1,cs,pools_004_1,18.49837385,1138.942627
230509_motility_pools_exp1,cs,pools_005_0,2.815228582,2564.263326
230509_motility_pools_exp1,cs,pools_005_1,15.55794956,1436.485517
230509_motility_pools_exp1,cs,pools_006_0,9.565917285,1248.864277
230509_motility_pools_exp1,cs,pools_006_1,2.120566814,1759.107315
230509_motility_pools_exp1,cs,pools_007_0,62.28786616,212.5228943
230509_motility_pools_exp1,cs,pools_008_0,19.33388712,1093.237156
230509_motility_pools_exp1,cs,pools_008_1,1.327130695,2354.411729
230509_motility_pools_exp1,cs,pools_008_2,45.62555168,686.8716066
230509_motility_pools_exp1,cs,pools_009_0,,
230509_motility_pools_exp1,cs,pools_009_1,27.79642128,337.7637842
230509_motility_pools_exp1,cs,pools_010_0,,
