Filename,depth,height,width,species
processed_Cs_100x-oil-1percent-TAP_022_C3_BGSub.segmentation.tiff,8.1,8.519647421,9.076790577,cs
processed_Cs_100x-oil-1percent-TAP_017_C3_BGSub.segmentation.tiff,8.1,9.030361981,7.753575582,cs
processed_Cs_100x-oil-1percent-TAP_016_C3_BGSub.segmentation.tiff,7.6,8.65893321,6.453574886,cs
processed_Cs_100x-oil-1percent-TAP__C3_BGSub.segmentation.tiff,8.1,7.800004179,7.080360936,cs
processed_Cs_100x-oil-1percent-TAP_011_C3_BGSub.segmentation.tiff,7.8,7.614289793,8.241075843,cs
processed_Cs_100x-oil-1percent-TAP_007_C3_BGSub.segmentation.tiff,6.1,5.641074451,7.962504266,cs
processed_Cs_100x-oil-1percent-TAP_014_C3_BGSub.segmentation.tiff,7,6.639289271,7.591075495,cs
processed_Cs_100x-oil-1percent-TAP_018_C3_BGSub.segmentation.tiff,8.1,9.471433645,7.77678988,cs
processed_Cs_100x-oil-1percent-TAP_021_C3_BGSub.segmentation.tiff,7.7,7.266075321,6.383931991,cs
processed_Cs_100x-oil-1percent-TAP_002_C3_BGSub.segmentation.tiff,8.1,10.42321987,8.867861893,cs
processed_Cs_100x-oil-1percent-TAP_005_C3_BGSub.segmentation.tiff,8.1,7.567861197,8.055361458,cs
processed_Cs_100x-oil-1percent-TAP_009_C3_BGSub.segmentation.tiff,8.1,8.194647247,9.192862068,cs
processed_Cs_100x-oil-1percent-TAP_013_C3_BGSub.segmentation.tiff,6.9,8.194647247,9.308933558,cs
processed_Cs_100x-oil-1percent-TAP_004_C3_BGSub.segmentation.tiff,7.9,7.010718041,9.726790925,cs
processed_Cs_100x-oil-1percent-TAP_008_C3_BGSub.segmentation.tiff,7.9,8.566076018,8.821433297,cs
processed_Cs_100x-oil-1percent-TAP_012_C3_BGSub.segmentation.tiff,6.6,7.846432775,9.308933558,cs
processed_Cs_100x-oil-1percent-TAP_020_C3_BGSub.segmentation.tiff,7.9,9.28571926,10.0750054,cs
processed_Cs_100x-oil-1percent-TAP_015_C3_BGSub.segmentation.tiff,8,6.500003482,9.123219173,cs
processed_Cs_100x-oil-1percent-TAP_019_C3_BGSub.segmentation.tiff,8.1,9.123219173,9.192862068,cs
processed_Cs_100x-oil-1percent-TAP_003_C3_BGSub.segmentation.tiff,7.7,9.146433471,8.426790229,cs
