Filename,Max Depth (micron),Max Height (micron),Max Width (micron)
processed_Cr_TAP_2x-PK_mito_chloro_001_C2_BGSub.segmentation.tiff,9.1,6.917855495748692,7.273807791950526
processed_Cr_TAP_2x-PK_mito_chloro_002_C2_BGSub.segmentation.tiff,9.1,6.917855495748692,7.273807791950526
processed_Cr_TAP_2x-PK_mito_chloro_003_C2_BGSub.segmentation.tiff,9.1,7.583331527778208,6.3452365844674805
processed_Cr_TAP_2x-PK_mito_chloro_004_C2_BGSub.segmentation.tiff,7.2,7.877379076814506,5.9428557278914935
processed_Cr_TAP_2x-PK_mito_chloro_005_C2_BGSub.segmentation.tiff,3.7,6.747617441043467,8.310712306973262
processed_Cr_TAP_2x-PK_mito_chloro_006_C2_BGSub.segmentation.tiff,9.1,8.635712229592327,10.430949897392882
processed_Cr_TAP_2x-PK_mito_chloro_007_C2_BGSub.segmentation.tiff,8.1,8.991664525794162,9.610711997449526
processed_Cr_TAP_2x-PK_mito_chloro_008_C2_BGSub.segmentation.tiff,8.3,7.351188725907447,8.326188493764645
processed_Cr_TAP_2x-PK_mito_chloro_009_C2_BGSub.segmentation.tiff,9.1,9.610711997449526,11.204759236962088
processed_Cr_TAP_2x-PK_mito_chloro_010_C2_BGSub.segmentation.tiff,9.1,10.214283282313506,8.60475985600956
processed_Cr_TAP_2x-PK_mito_chloro_011_C2_BGSub.segmentation.tiff,9.1,9.4404739427443,9.749997678571983
processed_Cr_TAP_2x-PK_mito_chloro_012_C2_BGSub.segmentation.tiff,9.1,8.945235965420009,9.007140712585546
processed_Cr_TAP_2x-PK_mito_chloro_013_C2_BGSub.segmentation.tiff,8.1,8.821426471088936,8.914283591837242
processed_Cr_TAP_2x-PK_mito_chloro_014_C2_BGSub.segmentation.tiff,7.7,8.728569350340631,7.13452211082807
processed_Cr_TAP_2x-PK_mito_chloro_015_C2_BGSub.segmentation.tiff,7.5,10.136902348356585,8.7595217239234
processed_Cr_TAP_2x-PK_mito_chloro_016_C2_BGSub.segmentation.tiff,8.6,10.38452133701873,8.7595217239234
processed_Cr_TAP_2x-PK_mito_chloro_017_C2_BGSub.segmentation.tiff,8.4,7.89285526360589,9.564283437075373
processed_Cr_TAP_2x-PK_mito_chloro_018_C2_BGSub.segmentation.tiff,7.2,9.146426393708003,6.824998375000388
processed_Cr_TAP_2x-PK_mito_chloro_019_C2_BGSub.segmentation.tiff,7.5,6.778569814626235,8.821426471088936
processed_Cr_TAP_2x-PK_mito_chloro_020_C2_BGSub.segmentation.tiff,9.1,9.223807327664924,9.223807327664924
processed_Cr_TAP_2x-PK_mito_chloro_021_C2_BGSub.segmentation.tiff,9.1,7.3047601655332945,8.032140944728347
processed_Cr_TAP_2x-PK_mito_chloro_022_C2_BGSub.segmentation.tiff,7.9,8.00118857114558,10.64761651247226
processed_Cr_TAP_2x-PK_mito_chloro_023_C2_BGSub.segmentation.tiff,7.800000000000001,6.654760320295162,7.21190304478499
processed_Cr_TAP_2x-PK_mito_chloro_024_C2_BGSub.segmentation.tiff,7.7,9.734521491780598,8.357140867347413
processed_Cr_TAP_2x-PK_mito_chloro_025_C2_BGSub.segmentation.tiff,7.9,8.914283591837242,10.074997601191049
processed_Cr_TAP_2x-PK_mito_chloro_026_C2_BGSub.segmentation.tiff,9.1,9.378569195578764,9.038093086168313
processed_Cr_TAP_2x-PK_mito_chloro_027_C2_BGSub.segmentation.tiff,9.1,8.805950284297552,10.895235501134405
processed_Cr_TAP_2x-PK_mito_chloro_028_C2_BGSub.segmentation.tiff,6.300000000000001,7.21190304478499,9.70356911819783
processed_Cr_TAP_2x-PK_mito_chloro_029_C2_BGSub.segmentation.tiff,8.4,6.53095082596409,8.836902657880321
processed_Cr_TAP_2x-PK_mito_chloro_030_C2_BGSub.segmentation.tiff,7.300000000000001,6.082141409013951,5.0607130807826
processed_Cr_TAP_2x-PK_mito_chloro_031_C2_BGSub.segmentation.tiff,7.9,9.51785487670122,10.523807018141188
processed_Cr_TAP_2x-PK_mito_chloro_032_C2_BGSub.segmentation.tiff,7.9,10.72499744642918,6.60833175992101
processed_Cr_TAP_2x-PK_mito_chloro_033_C2_BGSub.segmentation.tiff,7.7,10.322616589853194,8.836902657880321
processed_Cr_TAP_2x-PK_mito_chloro_034_C2_BGSub.segmentation.tiff,7.9,9.610711997449526,6.654760320295162
processed_Cr_TAP_2x-PK_mito_chloro_035_C2_BGSub.segmentation.tiff,9.1,8.109521878685268,10.183330908730737
processed_Cr_TAP_2x-PK_mito_chloro_036_C2_BGSub.segmentation.tiff,7.2,6.159522342970871,5.7416652996035005
processed_Cr_TAP_2x-PK_mito_chloro_037_C2_BGSub.segmentation.tiff,9.1,8.697616976757864,8.52737892205264
