Filename,depth,height,width,species,volume,mito_volume,mito_cell_ratio,chlor_volume,chlor_cell_ratio,a,b,c,eccentricity
processed_Cr_TAP_2x-PK_mito_chloro_001_C3_BGSub.segmentation.tiff,9.1,2.4607137,7.444045847,cr,87.27907624,11.715770923328378,0.134233443,35.90069889,0.411332251,4.55,1.23035685,4.380493354,0.270408099
processed_Cr_TAP_2x-PK_mito_chloro_002_C3_BGSub.segmentation.tiff,9.1,2.4607137,7.444045847,cr,87.27907624,11.715770923328378,0.134233443,35.90069889,0.411332251,4.55,1.23035685,4.380493354,0.270408099
processed_Cr_TAP_2x-PK_mito_chloro_003_C3_BGSub.segmentation.tiff,9.1,8.821426471,8.867855031,cr,372.7326336,62.86365884043102,0.168656171,20.3054026,0.054477126,4.55,4.410713236,1.117187878,0.969387524
processed_Cr_TAP_2x-PK_mito_chloro_004_C3_BGSub.segmentation.tiff,3.1,1.578571053,0.572618911,cr,1.467202768,0.7384645009579057,0.50331455,24.93299691,16.99355908,1.55,0.286309456,1.523327573,0.184715778
processed_Cr_TAP_2x-PK_mito_chloro_005_C3_BGSub.segmentation.tiff,2.2,0.974999768,1.454761558,cr,1.633870501,1.1347855990816236,0.694538275,17.59500891,10.76891277,1.1,0.487499884,0.986074978,0.443181713
processed_Cr_TAP_2x-PK_mito_chloro_006_C3_BGSub.segmentation.tiff,5.9,9.11547402,11.03452118,cr,310.7301425,61.17993486896181,0.196890892,92.70929372,0.298359512,5.51726059,2.95,4.662366826,0.534685638
processed_Cr_TAP_2x-PK_mito_chloro_007_C3_BGSub.segmentation.tiff,7.1,9.177378767,10.21428328,cr,348.4845476,54.43744644134896,0.156211938,64.63269711,0.1854679,5.10714164,3.55,3.671565842,0.695105061
processed_Cr_TAP_2x-PK_mito_chloro_008_C3_BGSub.segmentation.tiff,8.3,7.614283901,8.542855109,cr,282.6889423,47.90618396190516,0.16946607,47.45489478,0.167869653,4.271427555,3.807141951,1.936688804,0.891304348
processed_Cr_TAP_2x-PK_mito_chloro_009_C3_BGSub.segmentation.tiff,8.7,9.811902426,11.80833052,cr,527.7881029,93.06147269181048,0.176323551,82.46961351,0.156255158,5.90416526,4.35,3.992075578,0.736767995
processed_Cr_TAP_2x-PK_mito_chloro_010_C3_BGSub.segmentation.tiff,8.6,10.69404507,9.130950207,cr,439.698575,59.28033840958608,0.134820401,84.35723435,0.191852417,5.347022535,4.3,3.178151977,0.804185876
processed_Cr_TAP_2x-PK_mito_chloro_011_C3_BGSub.segmentation.tiff,7.4,8.744045537,9.827378613,cr,332.9510899,38.17707223994077,0.114662704,102.0963578,0.306640708,4.913689307,3.7,3.233317584,0.752998362
processed_Cr_TAP_2x-PK_mito_chloro_012_C3_BGSub.segmentation.tiff,7.4,8.991664526,9.285712075,cr,323.5084661,53.114020909420155,0.164181239,73.28726059,0.226538926,4.642856038,3.7,2.804659014,0.796923267
processed_Cr_TAP_2x-PK_mito_chloro_013_C3_BGSub.segmentation.tiff,5.8,6.298808024,8.279759933,cr,158.3808731,24.928398276725037,0.157395257,85.19622219,0.537919892,4.139879967,2.9,2.954421456,0.700503402
processed_Cr_TAP_2x-PK_mito_chloro_014_C3_BGSub.segmentation.tiff,8,9.966664294,7.47499822,cr,312.0682123,60.08002227,0.192522083,32.23362099,0.103290306,4.983332147,3.73749911,3.296164391,0.75
processed_Cr_TAP_2x-PK_mito_chloro_015_C3_BGSub.segmentation.tiff,6.9,10.78690219,8.945235965,cr,348.6071217,50.68548535951658,0.145394291,48.80346911,0.139995617,5.393451095,3.45,4.145698339,0.639664649
processed_Cr_TAP_2x-PK_mito_chloro_016_C3_BGSub.segmentation.tiff,8.7,10.64761651,9.11547402,cr,442.1295412,64.26892574495237,0.145362207,85.24941788,0.192815476,5.323808255,4.35,3.069272607,0.817084273
processed_Cr_TAP_2x-PK_mito_chloro_017_C3_BGSub.segmentation.tiff,7,8.217855186,10.60118795,cr,319.3079124,60.13199645,0.188319782,78.4099988,0.245562342,5.300593975,3.5,3.980740696,0.660303358
processed_Cr_TAP_2x-PK_mito_chloro_018_C3_BGSub.segmentation.tiff,5.2,9.98214048,7.505950594,cr,204.0005531,26.92576368047383,0.13198868,32.11237983,0.1574132,4.99107024,2.6,4.260373474,0.520930357
processed_Cr_TAP_2x-PK_mito_chloro_019_C3_BGSub.segmentation.tiff,6.8,7.057141177,9.595235811,cr,241.0971035,26.659449890056372,0.110575571,30.67228783,0.127219645,4.797617906,3.4,3.384839371,0.708685032
processed_Cr_TAP_2x-PK_mito_chloro_020_C3_BGSub.segmentation.tiff,9.1,9.45595013,9.610711997,cr,433.0128163,72.64450523,0.167765254,58.44832038,0.134980578,4.805355999,4.55,1.545621646,0.946860129
processed_Cr_TAP_2x-PK_mito_chloro_021_C3_BGSub.segmentation.tiff,8.7,7.536902967,8.72856935,cr,299.6773128,62.27582366,0.207809604,54.51636576,0.181916893,4.364284675,3.768451484,2.201307371,0.863475177
processed_Cr_TAP_2x-PK_mito_chloro_022_C3_BGSub.segmentation.tiff,6.7,8.264283747,10.98809262,cr,318.5671252,44.22732205161286,0.138832034,67.51417448,0.211930765,5.49404631,3.35,4.354543014,0.609750958
processed_Cr_TAP_2x-PK_mito_chloro_023_C3_BGSub.segmentation.tiff,2.2,0.990475955,1.29999969,cr,1.483229959,2.5047962845639864,1.688744399,27.01864657,18.21608741,1.1,0.495237978,0.982211457,0.450216343
processed_Cr_TAP_2x-PK_mito_chloro_024_C3_BGSub.segmentation.tiff,3.8,10.94166406,8.713093164,cr,189.6871683,25.786786615134172,0.135943759,51.3607665,0.270765635,5.47083203,1.9,5.130302438,0.347296351
processed_Cr_TAP_2x-PK_mito_chloro_025_C3_BGSub.segmentation.tiff,6,9.192854954,10.50833083,cr,303.4827548,31.626864333010662,0.104213053,62.57336986,0.206184269,5.254165415,3,4.31349675,0.570975552
processed_Cr_TAP_2x-PK_mito_chloro_026_C3_BGSub.segmentation.tiff,6.8,8.372617054,9.301188262,cr,277.2727551,31.971690274249994,0.115307724,81.11521903,0.292546662,4.650594131,3.4,3.173015249,0.731089384
processed_Cr_TAP_2x-PK_mito_chloro_027_C3_BGSub.segmentation.tiff,7.5,8.960712152,11.45237823,cr,402.9935498,67.49673798340895,0.167488383,120.3922278,0.298744801,5.726189115,3.75,4.327440558,0.654885811
processed_Cr_TAP_2x-PK_mito_chloro_028_C3_BGSub.segmentation.tiff,2.1,0.789285526,0.974999768,cr,0.846167943,0.6738680181126971,0.796376208,45.70202359,54.01058261,1.05,0.394642763,0.973014434,0.37585025
processed_Cr_TAP_2x-PK_mito_chloro_029_C3_BGSub.segmentation.tiff,5.6,6.902379309,9.54880725,cr,193.2567171,24.118918361738196,0.124802484,48.15736057,0.249188547,4.774403625,2.8,3.867160454,0.586460681
processed_Cr_TAP_2x-PK_mito_chloro_030_C3_BGSub.segmentation.tiff,4.8,4.441665609,8.759521724,cr,97.78362051,23.420260814613712,0.239511083,31.23578856,0.31943784,4.379760862,2.220832805,3.774944617,0.507067138
processed_Cr_TAP_2x-PK_mito_chloro_031_C3_BGSub.segmentation.tiff,6.4,9.873807173,10.70952126,cr,354.3507001,58.09456062957103,0.16394651,72.91611225,0.205773863,5.35476063,3.2,4.293420711,0.597599075
processed_Cr_TAP_2x-PK_mito_chloro_032_C3_BGSub.segmentation.tiff,7.2,11.3595211,7.830950516,cr,335.3556449,63.99295960652356,0.190821179,33.98768974,0.101348196,5.67976055,3.6,4.393140096,0.633829537
processed_Cr_TAP_2x-PK_mito_chloro_033_C3_BGSub.segmentation.tiff,8.2,11.15833068,8.24880756,cr,395.1872044,31.92110526432449,0.080774643,57.86793404,0.1464317,5.57916534,4.1,3.783792527,0.734876948
processed_Cr_TAP_2x-PK_mito_chloro_034_C3_BGSub.segmentation.tiff,7.7,10.12142616,7.103569737,cr,289.8729611,36.843587188992686,0.127102532,41.16364763,0.14200582,5.06071308,3.551784869,3.604946758,0.701834862
processed_Cr_TAP_2x-PK_mito_chloro_035_C3_BGSub.segmentation.tiff,8.7,8.496426548,10.61666414,cr,410.9057899,69.34754577554119,0.168767507,82.4298305,0.200605181,5.30833207,4.248213274,3.182934706,0.800291545
processed_Cr_TAP_2x-PK_mito_chloro_036_C3_BGSub.segmentation.tiff,7.2,7.119045924,9.301188262,cr,249.6268797,33.52634103620759,0.134305813,27.05184299,0.108369111,4.650594131,3.559522962,2.992962087,0.765391015
processed_Cr_TAP_2x-PK_mito_chloro_037_C3_BGSub.segmentation.tiff,5,3.544046775,2.723808875,cr,25.27229617,5.543513516693931,0.219351399,57.2169155,2.264017291,2.5,1.361904438,2.096477117,0.544761775
processed_Cs_100x-oil-1percent-TAP__C3_BGSub.segmentation.tiff,8.1,7.800004179,7.080360936,cs,234.2253378,77.83697816714816,0.332316644,83.27898878,0.355550726,4.05,3.540180468,1.967135545,0.874118634
processed_Cs_100x-oil-1percent-TAP_001_C3_BGSub.segmentation.tiff,4,6.383931991,8.28750444,cs,110.8078784,11.042943910804082,0.099658473,139.7679999,1.261354355,4.14375222,2,3.629143489,0.482654342
processed_Cs_100x-oil-1percent-TAP_002_C3_BGSub.segmentation.tiff,8.1,10.42321987,8.867861893,cs,392.016603,131.04606004931244,0.334287015,197.0184279,0.502576744,5.211609935,4.05,3.279996664,0.777111114
processed_Cs_100x-oil-1percent-TAP_003_C3_BGSub.segmentation.tiff,7.7,9.146433471,8.426790229,cs,310.7443996,88.98980452986707,0.286376214,165.525061,0.532672709,4.573216736,3.85,2.468159498,0.841858198
processed_Cs_100x-oil-1percent-TAP_004_C3_BGSub.segmentation.tiff,7.9,7.010718041,9.726790925,cs,282.0705825,51.45565111318285,0.182421189,130.5165872,0.462708965,4.863395463,3.505359021,3.371212477,0.720763723
processed_Cs_100x-oil-1percent-TAP_005_C3_BGSub.segmentation.tiff,8.1,7.567861197,8.055361458,cs,258.5483866,74.61099320563457,0.288576518,102.9960179,0.39836264,4.05,3.783930599,1.443734472,0.934303851
processed_Cs_100x-oil-1percent-TAP_006_C3_BGSub.segmentation.tiff,7.7,6.569646377,8.867861893,cs,234.8822843,66.14492482362496,0.281608828,113.9287021,0.485045956,4.433930947,3.284823189,2.978200843,0.740837696
